2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - Développeur mode : true
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - --------------------Fin resume init----------------------
2019-02-06 16:56:54.533 [main] INFO  com.ocr.charles.Menu - Mode choisi : Challenger
2019-02-06 16:57:02.331 [main] INFO  com.ocr.charles.Menu - Tour Human n°1 :
2019-02-06 16:57:02.331 [main] INFO  com.ocr.charles.Menu - Solution : 8 2 7 5 
2019-02-06 16:57:02.331 [main] INFO  com.ocr.charles.Menu - Réponse : 8 2 7 5 
2019-02-06 16:57:09.731 [main] INFO  com.ocr.charles.Menu - Joueur quitte l'application
2019-02-06 17:05:08.050 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 17:05:08.052 [main] INFO  com.ocr.charles.Menu - -----------------LANCEMENT APPLICATION-------------------
2019-02-06 17:05:08.053 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 17:05:10.451 [main] INFO  com.ocr.charles.Menu - Jeu choisi : Searchumber
2019-02-06 17:05:11.667 [main] INFO  com.ocr.charles.Menu - --------------------NOUVELLE PARTIE----------------------
2019-02-06 17:05:11.668 [main] INFO  com.ocr.charles.Menu - -----------------------Resume init-----------------------
2019-02-06 17:05:11.668 [main] INFO  com.ocr.charles.Menu - Nombre de digits : 4
2019-02-06 17:05:11.669 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées : 5
2019-02-06 17:05:11.669 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées -1 : 4
2019-02-06 17:05:11.669 [main] INFO  com.ocr.charles.Menu - Partie terminée : false
2019-02-06 17:05:11.669 [main] INFO  com.ocr.charles.Menu - Joueur gagne : false
2019-02-06 17:05:11.669 [main] INFO  com.ocr.charles.Menu - Range min: 0 0 0 0 
2019-02-06 17:05:11.669 [main] INFO  com.ocr.charles.Menu - Range max: 9 9 9 9 
2019-02-06 17:05:11.669 [main] INFO  com.ocr.charles.Menu - Développeur mode : true
2019-02-06 17:05:11.669 [main] INFO  com.ocr.charles.Menu - --------------------Fin resume init----------------------
2019-02-06 17:05:13.739 [main] INFO  com.ocr.charles.Menu - Mode choisi : Defender
2019-02-06 17:05:13.739 [main] INFO  com.ocr.charles.Menu - Tour Ai n°1 :
2019-02-06 17:05:13.739 [main] INFO  com.ocr.charles.Menu - Solution : 9 9 0 0 
2019-02-06 17:05:13.739 [main] INFO  com.ocr.charles.Menu - Réponse : 5 5 5 5 
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - Résultat : [Ljava.lang.String;@206a70ef
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - La partie est terminée : false
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - Le joueur remporte la partie : false
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - Tentatives restantes : 3
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - Tour Ai n°2 :
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - Solution : 9 9 0 0 
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - Réponse : 7 7 2 2 
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - Résultat : [Ljava.lang.String;@206a70ef
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - La partie est terminée : false
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - Le joueur remporte la partie : false
2019-02-06 17:05:13.740 [main] INFO  com.ocr.charles.Menu - Tentatives restantes : 2
2019-02-06 17:05:13.741 [main] INFO  com.ocr.charles.Menu - Tour Ai n°3 :
2019-02-06 17:05:13.741 [main] INFO  com.ocr.charles.Menu - Solution : 9 9 0 0 
2019-02-06 17:05:13.741 [main] INFO  com.ocr.charles.Menu - Réponse : 8 8 1 1 
2019-02-06 17:05:13.741 [main] INFO  com.ocr.charles.Menu - Résultat : [Ljava.lang.String;@206a70ef
2019-02-06 17:05:13.741 [main] INFO  com.ocr.charles.Menu - La partie est terminée : false
2019-02-06 17:05:13.741 [main] INFO  com.ocr.charles.Menu - Le joueur remporte la partie : false
2019-02-06 17:05:13.741 [main] INFO  com.ocr.charles.Menu - Tentatives restantes : 1
2019-02-06 17:05:13.741 [main] INFO  com.ocr.charles.Menu - Tour Ai n°4 :
2019-02-06 17:05:13.741 [main] INFO  com.ocr.charles.Menu - Solution : 9 9 0 0 
2019-02-06 17:05:13.742 [main] INFO  com.ocr.charles.Menu - Réponse : 9 9 0 0 
2019-02-06 17:05:13.742 [main] INFO  com.ocr.charles.Menu - Résultat : [Ljava.lang.String;@206a70ef
2019-02-06 17:05:13.742 [main] INFO  com.ocr.charles.Menu - La partie est terminée : true
2019-02-06 17:05:13.742 [main] INFO  com.ocr.charles.Menu - Le joueur remporte la partie : false
2019-02-06 17:05:13.742 [main] INFO  com.ocr.charles.Menu - Tentatives restantes : 0
2019-02-06 17:05:19.611 [main] INFO  com.ocr.charles.Menu - Joueur quitte l'application
2019-02-06 17:09:03.505 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 17:09:03.507 [main] INFO  com.ocr.charles.Menu - -----------------LANCEMENT APPLICATION-------------------
2019-02-06 17:09:03.507 [main] INFO  com.ocr.charles.Menu - ---------------------------------------------------------
2019-02-06 17:09:05.363 [main] INFO  com.ocr.charles.Menu - Jeu choisi : Searchumber
2019-02-06 17:09:07.571 [main] INFO  com.ocr.charles.Menu - --------------------NOUVELLE PARTIE----------------------
2019-02-06 17:09:07.572 [main] INFO  com.ocr.charles.Menu - -----------------------Resume init-----------------------
2019-02-06 17:09:07.572 [main] INFO  com.ocr.charles.Menu - Nombre de digits : 4
2019-02-06 17:09:07.572 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées : 5
2019-02-06 17:09:07.572 [main] INFO  com.ocr.charles.Menu - Tentatives autorisées -1 : 4
2019-02-06 17:09:07.572 [main] INFO  com.ocr.charles.Menu - Partie terminée : false
2019-02-06 17:09:07.572 [main] INFO  com.ocr.charles.Menu - Joueur gagne : false
2019-02-06 17:09:07.572 [main] INFO  com.ocr.charles.Menu - Range min: 0 0 0 0 
2019-02-06 17:09:07.572 [main] INFO  com.ocr.charles.Menu - Range max: 9 9 9 9 
2019-02-06 17:09:07.572 [main] INFO  com.ocr.charles.Menu - Développeur mode : true
2019-02-06 17:09:07.573 [main] INFO  com.ocr.charles.Menu - --------------------Fin resume init----------------------
2019-02-06 17:09:09.916 [main] INFO  com.ocr.charles.Menu - Mode choisi : Defender
2019-02-06 17:09:09.916 [main] INFO  com.ocr.charles.Menu - Tour Ai n°1 :
2019-02-06 17:09:09.916 [main] INFO  com.ocr.charles.Menu - Solution : 9 9 0 0 
2019-02-06 17:09:09.916 [main] INFO  com.ocr.charles.Menu - Réponse : 5 5 5 5 
2019-02-06 17:09:09.916 [main] INFO  com.ocr.charles.Menu - Résultat : ++--
2019-02-06 17:09:09.916 [main] INFO  com.ocr.charles.Menu - La partie est terminée : false
2019-02-06 17:09:09.916 [main] INFO  com.ocr.charles.Menu - Le joueur remporte la partie : false
2019-02-06 17:09:09.916 [main] INFO  com.ocr.charles.Menu - Tentatives restantes : 31
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Tour Ai n°2 :
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Solution : 9 9 0 0 
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Réponse : 7 7 2 2 
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Résultat : ++--
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - La partie est terminée : false
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Le joueur remporte la partie : false
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Tentatives restantes : 21
2019-02-06 17:09:09.917 [main] INFO  com.ocr.charles.Menu - Tour Ai n°3 :
